ID,Elevation (meters), Aspect (azimuth), Slope (degrees), Horizontal_Distance_To_Hydrology (meters), Vertical_Distance_To_Hydrology (meters), Horizontal_Distance_To_Roadways(meters), Hillshade_9am (0-255), Hillshade_Noon (0-255), Hillshade_3pm (0-255), Horizontal_Distance_To_Fire_Points (meters), Rawah Wilderness Area (1/4), Neota Wilderness Area (2/4), Comanche Peak Wilderness Area (3/4), Cache la Poudre Wilderness Area (4/4), 2702 (1/40), 2703 (2/40), 2704 (3/40), 2705 (4/40), 2706 (5/40), 2717 (6/40), 3501 (7/40), 3502 (8/40), 4201 (9/40), 4703 (10/40), 4704 (11/40), 4744 (12/40), 4758 (13/40), 5101 (14/40), 5151 (15/40), 6101 (16/40), 6102 (17/40), 6731 (18/40), 7101 (19/40), 7102 (20/40), 7103 (21/40), 7201 (22/40), 7202 (23/40), 7700 (24/40), 7701 (25/40), 7702 (26/40), 7709 (27/40), 7710 (28/40), 7745 (29/40), 7746 (30/40), 7755 (31/40), 7756 (32/40), 7757 (33/40), 7790 (34/40), 8703 (35/40), 8707 (36/40), 8708 (37/40), 8771 (38/40), 8772 (39/40), 8776 (40/40)
e99f1d862dc54e29,3351,206,27,726,124,3813,192,252,180,2271,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ba5f8abce7d94ee4,2732,129,7,212,1,1082,231,236,137,912,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
d9d26dd3655146ba,2572,24,9,201,25,957,216,222,142,2191,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42e53808c8ee4b49,2824,69,13,417,39,3223,233,214,110,6478,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8f82670abb6042ae,2529,84,5,120,9,1092,227,231,139,4983,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fee331c1b1394d6e,2050,284,42,170,141,192,75,201,246,255,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e4a3fc3b43e24d7d,3004,236,5,960,95,5814,211,244,171,5713,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0600745dbcb3421d,3232,111,10,541,78,1342,237,229,122,2270,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9e3e494a7a4e4941,3141,156,6,503,72,240,228,241,147,1354,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5a6a3a7efb7946d5,2524,36,7,30,3,630,220,225,141,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8875d66f79fc4b21,2860,156,15,228,98,3961,236,241,131,5433,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32b16cbff1af43d8,3176,144,17,67,19,4191,242,234,115,3172,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a100132ce26a48cd,2712,288,9,30,6,1801,195,239,184,713,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
c9c7e76d2cf44479,2918,351,12,67,11,2832,198,219,159,1173,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
aca2e6281cfd48b5,2908,342,14,127,18,1932,190,218,166,942,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
191f3273f855447e,2962,21,14,150,20,5622,210,209,133,3768,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65a1dc30f8034afb,3183,153,13,390,47,4736,235,240,134,2200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
be3fbddba55045f5,2781,336,22,256,65,1731,165,203,175,1087,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
